key,title,icon,status,category,met-id,scope,type,lat,lon,unit,section,rank,Req,code,components,image,kpiSubTitle,kpiValue,kpiColor,important,label,readiness,comments,Lat,Lon,D_Lat,D_Lon,city,country,Unnamed: 0,place_key,class,address,postcode,dateTime,description,nameFirst,nameLast,hasChildren,married,age,dob,gender,sc_interests,sc_education,sc_occupation,sc_charisma,sc_engagement,sc_personality,sc_tolerance,sc_culture,sc_ethnic,sc_locale,sc_soc_class,culture,ethnic,interests,occupation,personality,pob,livesAt,color,endDate,URL,geometry
f54cfe04dbea8bd1d35619f286b52293,Krasnogorsk,sap-icon://map,Standard,area,,,city,48.4615497,142.0899727,,,,,,,,,,,,,,,48.4615497,142.0899727,,,Krasnogorsk,Russia,,,,,,,"Krasnogorsk Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a485495338543c1df53bf1d9ae1f68f,Poronaysk,sap-icon://map,Standard,area,,,city,49.24155377,143.0850024,,,,,,,,,,,,,,,49.24155377,143.0850024,,,Poronaysk,Russia,,,,,,,"Poronaysk Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c7d77bb2109eadefca7df382c2f096,Makarov,sap-icon://map,Standard,area,,,city,48.63373557,142.8000069,,,,,,,,,,,,,,,48.63373557,142.8000069,,,Makarov,Russia,,,,,,,"Makarov Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94ae0af64ab852ddae6c0577a88a46c5,Dolinsk,sap-icon://map,Standard,area,,,city,47.35042889,142.8000069,,,,,,,,,,,,,,,47.35042889,142.8000069,,,Dolinsk,Russia,,,,,,,"Dolinsk Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8e8c0286a9b13efaadb15a83603ca05,Nevelsk,sap-icon://map,Standard,area,,,city,46.68028892,141.8699344,,,,,,,,,,,,,,,46.68028892,141.8699344,,,Nevelsk,Russia,,,,,,,"Nevelsk Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528891f638df05f908f975468af487ae,Kudymkar,sap-icon://map,Standard,area,,,city,59.01617678,54.63303707,,,,,,,,,,,,,,,59.01617678,54.63303707,,,Kudymkar,Russia,,,,,,,"Kudymkar Komi-Permyak, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d4729435f6f36244b89ee6dc7f4bda,Kungur,sap-icon://map,Standard,area,,,city,57.4347746,56.95434241,,,,,,,,,,,,,,,57.4347746,56.95434241,,,Kungur,Russia,,,,,,,"Kungur Perm', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078ce5f6292792c3b4891681879e1d8,Krasnokamsk,sap-icon://map,Standard,area,,,city,58.07473553,55.74428707,,,,,,,,,,,,,,,58.07473553,55.74428707,,,Krasnokamsk,Russia,,,,,,,"Krasnokamsk Perm', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134f4c2a68117b0dea009414ad850691,Chusovoy,sap-icon://map,Standard,area,,,city,58.2934302,57.81304968,,,,,,,,,,,,,,,58.2934302,57.81304968,,,Chusovoy,Russia,,,,,,,"Chusovoy Perm', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7040b4379bfd9971e846c30410dce1fe,Gubakha,sap-icon://map,Standard,area,,,city,58.86913149,57.58872229,,,,,,,,,,,,,,,58.86913149,57.58872229,,,Gubakha,Russia,,,,,,,"Gubakha Perm', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53f7b4889163f2105caf29b3b943de94,Utkholok,sap-icon://map,Standard,area,,,city,57.55040061,157.2333378,,,,,,,,,,,,,,,57.55040061,157.2333378,,,Utkholok,Russia,,,,,,,"Utkholok Kamchatka, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bec4ccadea4f163307fc5e15a792187f,Bol'sheretsk,sap-icon://map,Standard,area,,,city,52.43898134,156.3593859,,,,,,,,,,,,,,,52.43898134,156.3593859,,,Bol'sheretsk,Russia,,,,,,,"Bol'sheretsk Kamchatka, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ba58b757708325439cd904c3ae746e,Il'pyrskiy,sap-icon://map,Standard,area,,,city,59.96738829,164.1720053,,,,,,,,,,,,,,,59.96738829,164.1720053,,,Il'pyrskiy,Russia,,,,,,,"Il'pyrskiy Kamchatka, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163c6a68338a86f4e89dc77a8f7c8fe2,Korf,sap-icon://map,Standard,area,,,city,60.33206545,165.8183435,,,,,,,,,,,,,,,60.33206545,165.8183435,,,Korf,Russia,,,,,,,"Korf Kamchatka, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c702cc4be5f5f906b2a587fe34caf7b7,Kolpashevo,sap-icon://map,Standard,area,,,city,58.30040651,82.99538855,,,,,,,,,,,,,,,58.30040651,82.99538855,,,Kolpashevo,Russia,,,,,,,"Kolpashevo Tomsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61696a427dd5d0ca6f3d3f7140a58c66,Omolon,sap-icon://map,Standard,area,,,city,65.24998232,160.5000118,,,,,,,,,,,,,,,65.24998232,160.5000118,,,Omolon,Russia,,,,,,,"Omolon Chukchi Autonomous Okrug, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c04710a6004af92f905e8955eaf09076,Pevek,sap-icon://map,Standard,area,,,city,69.70082176,170.3133146,,,,,,,,,,,,,,,69.70082176,170.3133146,,,Pevek,Russia,,,,,,,"Pevek Chukchi Autonomous Okrug, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafefafb8228e37933d0f55bca2979d1,Umba,sap-icon://map,Standard,area,,,city,66.68139366,34.34554154,,,,,,,,,,,,,,,66.68139366,34.34554154,,,Umba,Russia,,,,,,,"Umba Murmansk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5e28adf3ddf7240ab0d5fbb9f074d8f,Kovda,sap-icon://map,Standard,area,,,city,66.690282,32.87023108,,,,,,,,,,,,,,,66.690282,32.87023108,,,Kovda,Russia,,,,,,,"Kovda Murmansk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50a3eae4938b6f68eb95d51ae7588e94,Velikiy Novgorod,sap-icon://map,Standard,area,,,city,58.4999809,31.33001501,,,,,,,,,,,,,,,58.4999809,31.33001501,,,Velikiy Novgorod,Russia,,,,,,,"Velikiy Novgorod Novgorod, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c664b7f214f691e26c8022153343a20a,Velikiye Luki,sap-icon://map,Standard,area,,,city,56.31995892,30.52003861,,,,,,,,,,,,,,,56.31995892,30.52003861,,,Velikiye Luki,Russia,,,,,,,"Velikiye Luki Pskov, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c460f00b9188a307ff113e26a786b847,Belomorsk,sap-icon://map,Standard,area,,,city,64.52522036,34.76582597,,,,,,,,,,,,,,,64.52522036,34.76582597,,,Belomorsk,Russia,,,,,,,"Belomorsk Karelia, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d310c56812f3c526888b5beef2e02e6,Kem,sap-icon://map,Standard,area,,,city,64.95359214,34.56837032,,,,,,,,,,,,,,,64.95359214,34.56837032,,,Kem,Russia,,,,,,,"Kem Karelia, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eab718ed4a03411990bcaafb1697000f,Krasino,sap-icon://map,Standard,area,,,city,70.73144845,54.420799,,,,,,,,,,,,,,,70.73144845,54.420799,,,Krasino,Russia,,,,,,,"Krasino Arkhangel'sk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81254b6eb518d2713825479aa52328cb,Matochkin Shar,sap-icon://map,Standard,area,,,city,73.26999163,56.44969682,,,,,,,,,,,,,,,73.26999163,56.44969682,,,Matochkin Shar,Russia,,,,,,,"Matochkin Shar Arkhangel'sk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e9b38eecad0610eb90cad0184d5c803,Severodvinsk,sap-icon://map,Standard,area,,,city,64.57002382,39.83001298,,,,,,,,,,,,,,,64.57002382,39.83001298,,,Severodvinsk,Russia,,,,,,,"Severodvinsk Arkhangel'sk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b58e805135f4dc287f90dcd68efa488d,Kursk,sap-icon://map,Standard,area,,,city,51.73998008,36.19002844,,,,,,,,,,,,,,,51.73998008,36.19002844,,,Kursk,Russia,,,,,,,"Kursk Kursk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
